Date	ShenYang	BeiJing	GuangZhou	ChengDu	ShangHai
Sep-13	52.80	90.91	47.10	70.49	27.85
Oct-13	85.71	106.59	70.74	100.42	36.18
Nov-13	73.26	90.70	55.99	95.17	79.12
Dec-13	120.26	98.51	72.54	133.79	122.18
Jan-14	91.43	118.77	86.19	159.06	72.61
Feb-14	101.88	174.59	48.33	101.27	52.33
Mar-14	79.11	110.47	55.58	85.06	54.39
Apr-14	65.76	95.14	50.28	64.89	51.66
May-14	53.18	72.24	41.11	82.34	61.19
Jun-14	58.56	59.05	64.67	62.60	42.13
Jul-14	59.21	89.64	25.83	56.70	35.08
Aug-14	50.87	62.82	25.35	57.43	29.04
Sep-14	45.48	70.26	32.14	48.66	28.81
Oct-14	111.78	140.69	52.98	84.71	38.80
Nov-14	113.15	104.19	53.65	69.26	53.27
Dec-14	97.42	78.61	61.30	103.30	74.76
Jan-15	130.65	107.91	70.21	142.25	84.63
Feb-15	103.48	96.74	67.24	96.81	66.88
Mar-15	75.35	89.27	41.24	80.23	50.50
Apr-15	66.57	78.86	39.90	62.72	53.50
May-15	44.54	60.13	29.33	58.15	41.00
Jun-15	41.70	54.40	17.94	47.76	36.49
Jul-15	36.19	55.08	22.85	51.52	35.44
Aug-15	34.83	44.65	31.82	50.36	36.02
Sep-15	39.56	46.85	37.37	45.07	27.99
Oct-15	69.18	72.37	42.04	72.19	37.77
Nov-15	147.44	124.82	38.40	60.09	56.00
Dec-15	119.63	161.72	38.30	105.47	82.07
Jan-16	86.25	72.15	35.41	95.39	72.59
Feb-16	63.48	43.96	37.06	84.26	57.59
Mar-16	78.20	93.13	50.40	86.15	55.78
Apr-16	48.04	66.50	40.71	70.23	56.02
May-16	43.72	55.25	26.95	62.52	48.53
Jun-16	44.79	58.67	22.25	53.89	35.33
Jul-16	39.74	59.16	19.65	41.34	34.67
Aug-16	23.82	38.67	29.06	46.57	20.59
Sep-16	40.56	51.60	22.22	52.86	28.14
