

The answers for the other 4 questions are saved within the file extraCredit.sql

####################################################################
# What's the count of how many patients have each kind of illness? #
####################################################################

Here is the query result. The distribution of the number of patients have each kind of illness.
+----------------------------------+
| I.Name  | COUNT(DISTINCT P.Name) |
+----------------------------------+
| "I425"  | 20                     |
| "I758"  | 18                     |
| "I326"  | 18                     |
| "I48"   | 14                     |
| "I196"  | 15                     |
| "I854"  | 15                     |
| "I718"  | 16                     |
| "I783"  | 19                     |
| "I980"  | 15                     |
| "I437"  | 19                     |
| "I939"  | 17                     |
| "I485"  | 11                     |
| "I176"  | 14                     |
| "I308"  | 10                     |
| "I607"  | 9                      |
| "I911"  | 14                     |
| "I510"  | 10                     |
| "I875"  | 10                     |
| "I236"  | 13                     |
| "I922"  | 24                     |
| "I531"  | 22                     |
| "I241"  | 11                     |
| "I498"  | 19                     |
| "I400"  | 12                     |
| "I579"  | 15                     |
| "I842"  | 22                     |
| "I137"  | 9                      |
| "I679"  | 20                     |
| "I753"  | 23                     |
| "I982"  | 11                     |
| "I380"  | 13                     |
| "I194"  | 22                     |
| "I802"  | 13                     |
| "I611"  | 13                     |
| "I576"  | 20                     |
| "I252"  | 21                     |
| "I305"  | 21                     |
| "I742"  | 16                     |
| "I797"  | 15                     |
| "I1000" | 20                     |
| "I381"  | 24                     |
| "I94"   | 18                     |
| "I929"  | 13                     |
| "I660"  | 15                     |
| "I690"  | 16                     |
| "I796"  | 11                     |
| "I415"  | 16                     |
| "I477"  | 21                     |
| "I248"  | 15                     |
| "I340"  | 15                     |
| "I491"  | 19                     |
| "I116"  | 23                     |
| "I35"   | 17                     |
| "I332"  | 20                     |
| "I914"  | 17                     |
| "I266"  | 19                     |
| "I260"  | 19                     |
| "I646"  | 16                     |
| "I250"  | 15                     |
| "I439"  | 12                     |
| "I676"  | 17                     |
| "I101"  | 8                      |
| "I504"  | 13                     |
| "I221"  | 13                     |
| "I138"  | 20                     |
| "I294"  | 10                     |
| "I25"   | 17                     |
| "I19"   | 14                     |
| "I220"  | 13                     |
| "I256"  | 18                     |
| "I335"  | 12                     |
| "I209"  | 23                     |
| "I642"  | 18                     |
| "I937"  | 23                     |
| "I777"  | 18                     |
| "I2"    | 17                     |
| "I791"  | 17                     |
| "I565"  | 14                     |
| "I421"  | 17                     |
| "I696"  | 19                     |
| "I569"  | 14                     |
| "I402"  | 18                     |
| "I540"  | 15                     |
| "I237"  | 19                     |
| "I139"  | 18                     |
| "I921"  | 16                     |
| "I319"  | 18                     |
| "I501"  | 18                     |
| "I552"  | 15                     |
| "I644"  | 16                     |
| "I680"  | 19                     |
| "I788"  | 15                     |
| "I570"  | 14                     |
| "I749"  | 13                     |
| "I965"  | 16                     |
| "I600"  | 18                     |
| "I825"  | 14                     |
| "I590"  | 11                     |
| "I274"  | 25                     |
| "I327"  | 21                     |
| "I210"  | 22                     |
| "I885"  | 16                     |
| "I870"  | 23                     |
| "I670"  | 11                     |
| "I152"  | 18                     |
| "I872"  | 15                     |
| "I517"  | 21                     |
| "I487"  | 14                     |
| "I554"  | 18                     |
| "I222"  | 18                     |
| "I833"  | 16                     |
| "I663"  | 12                     |
| "I49"   | 25                     |
| "I216"  | 21                     |
| "I276"  | 11                     |
| "I411"  | 23                     |
| "I561"  | 12                     |
| "I261"  | 26                     |
| "I433"  | 19                     |
| "I277"  | 12                     |
| "I424"  | 19                     |
| "I202"  | 15                     |
| "I77"   | 15                     |
| "I255"  | 16                     |
| "I473"  | 16                     |
| "I544"  | 17                     |
| "I608"  | 21                     |
| "I558"  | 20                     |
| "I857"  | 14                     |
| "I317"  | 22                     |
| "I856"  | 10                     |
| "I361"  | 10                     |
| "I144"  | 12                     |
| "I258"  | 20                     |
| "I265"  | 14                     |
| "I686"  | 27                     |
| "I397"  | 12                     |
| "I709"  | 22                     |
| "I313"  | 13                     |
| "I766"  | 12                     |
| "I145"  | 15                     |
| "I320"  | 11                     |
| "I809"  | 9                      |
| "I70"   | 17                     |
| "I281"  | 14                     |
| "I161"  | 22                     |
| "I827"  | 16                     |
| "I650"  | 12                     |
| "I346"  | 18                     |
| "I242"  | 14                     |
| "I56"   | 21                     |
| "I26"   | 14                     |
| "I602"  | 23                     |
| "I575"  | 13                     |
| "I32"   | 14                     |
| "I431"  | 16                     |
| "I360"  | 19                     |
| "I862"  | 21                     |
| "I941"  | 11                     |
| "I58"   | 10                     |
| "I436"  | 19                     |
| "I539"  | 16                     |
| "I315"  | 14                     |
| "I110"  | 18                     |
| "I389"  | 19                     |
| "I97"   | 8                      |
| "I747"  | 14                     |
| "I702"  | 17                     |
| "I592"  | 18                     |
| "I807"  | 21                     |
| "I649"  | 16                     |
| "I435"  | 14                     |
| "I518"  | 20                     |
| "I677"  | 13                     |
| "I448"  | 9                      |
| "I634"  | 19                     |
| "I476"  | 13                     |
| "I486"  | 16                     |
| "I971"  | 16                     |
| "I928"  | 18                     |
| "I278"  | 19                     |
| "I858"  | 16                     |
| "I111"  | 17                     |
| "I478"  | 21                     |
| "I687"  | 9                      |
| "I989"  | 20                     |
| "I706"  | 19                     |
| "I10"   | 13                     |
| "I944"  | 19                     |
| "I39"   | 12                     |
| "I907"  | 18                     |
| "I251"  | 15                     |
| "I828"  | 21                     |
| "I655"  | 15                     |
| "I129"  | 23                     |
| "I328"  | 13                     |
| "I826"  | 21                     |
| "I323"  | 19                     |
| "I562"  | 13                     |
| "I509"  | 21                     |
| "I127"  | 21                     |
| "I42"   | 16                     |
| "I845"  | 11                     |
| "I68"   | 11                     |
| "I295"  | 9                      |
| "I515"  | 18                     |
| "I212"  | 21                     |
| "I942"  | 13                     |
| "I151"  | 19                     |
| "I286"  | 23                     |
| "I730"  | 21                     |
| "I720"  | 14                     |
| "I64"   | 23                     |
| "I553"  | 15                     |
| "I506"  | 16                     |
| "I744"  | 19                     |
| "I363"  | 10                     |
| "I405"  | 15                     |
| "I452"  | 17                     |
| "I65"   | 14                     |
| "I75"   | 11                     |
| "I912"  | 17                     |
| "I66"   | 16                     |
| "I651"  | 13                     |
| "I416"  | 19                     |
| "I904"  | 18                     |
| "I495"  | 26                     |
| "I817"  | 17                     |
| "I169"  | 15                     |
| "I62"   | 15                     |
| "I60"   | 19                     |
| "I159"  | 16                     |
| "I208"  | 17                     |
| "I496"  | 17                     |
| "I837"  | 13                     |
| "I130"  | 16                     |
| "I188"  | 22                     |
| "I263"  | 15                     |
| "I699"  | 14                     |
| "I275"  | 17                     |
| "I290"  | 22                     |
| "I933"  | 14                     |
| "I636"  | 25                     |
| "I98"   | 18                     |
| "I293"  | 22                     |
| "I918"  | 21                     |
| "I538"  | 24                     |
| "I736"  | 10                     |
| "I714"  | 24                     |
| "I384"  | 16                     |
| "I4"    | 15                     |
| "I349"  | 25                     |
