Number,Height(cm),Weight(kg),Gender,Age,TOELF Score,Time in ESC,Driver License,Programming,Courses out-stat,ugrad gpa,ugrad major,ugrad school,grad gpa,working experience(month),numer of interview,number of offer
1,183,70,M,25,102,3,N,4,N0,3.6,STAT,985,3.7,5,50,10
2,180,70,M,25,100,3,Y,3,CS,3.9,FIN,C,3.9,20,0,1
3,175,68,M,24,96,2,Y,2,CS,3.6,FIN,985,3.78,3,3,0
4,166,50,F,24,97,2,N,4,CS,3.3,ACCOUNTING,A,3.5,6,4,2
5,167,46,F,23,90,2,N,2,N0,3.4,MATH,985,3.6,0,4,0
6,165,47,F,23,98,1.5,N,2,CS,3.1,STAT,985,3.77,5,1,1
7,184,90,M,25,98,2,N,1,N0,3.2,MATH,985,4,5,0,1
8,168,60,F,25,99,1.5,Y,3,NO,3.5,ECON,985,3.8,12,3,1
9,169,65,M,26,110,6,Y,2,NO,3.6,PYTHSICS,A,3.6,8,5,1
10,175,65,M,26,98,2,N,2,MATH,3.3,ECON,A,3.6,12,4,1
11,168,83,M,25,91,9,Y,1,FIN,3.39,FIN,A,3.5,0,0,0
12,169,55,F,25,103,2,Y,2,NO,3.78,ECON,985,3.47,5,3,2
13,176,68,M,23,87,1.5,N,2,CS,3.5,STAT,211,3.5,0,5,1
14,178,60,M,24,97,1.5,Y,2,CS,3.3,STAT,985,3.7,0,0,0
15,173,60,M,25,105,1.5,N,3,N0,3.5,FIN,985,3.7,0,5,2
16,168,50,F,25,101,2,Y,3,NO,3.4,STAT,985,3.7,12,3,1
17,175,70,M,23,101,1.5,Y,3,NO,3.6,MATH,211,3.8,10,4,2
18,165,55,F,25,105,2,N,2,NO,3.4,ECON,985,3.6,0,4,1
19,165,60,M,23,100,1.5,N,3,NO,3.3,STAT,985,3.7,12,5,3
20,177,59,M,24,96,2,N,4,CS,3.6,ECON,985,3.7,4,2,1
21,188,70,M,23,90,2,Y,1,FIN,3,STAT,985,3.7,0,0,0
22,183,80,M,26,105,2,Y,1,NO,3.7,MATH,985,3.7,0,0,0
23,162,56,F,23,83,2,Y,3,CS,3.3,MATH,985,3.86,3,0,0
24,164,52,F,23,101,6,Y,5,NO,3.6,Chemical engineering,A,3.86,9,0,0
25,175,70,M,23,95,2,Y,1,Math&CS,3.51,MATH,211,3.51,0,0,0
26,179,75,M,24,90,2,Y,2,CS,3.6,STAT,C,3.8,3,3,3
27,184,77,M,24,93,3,N,4,NO,3.7,STAT,C,3.4,0,0,0
28,188,75,M,24,99,2,Y,2,CS,3.3,PHYSICS,985,3.7,0,1,0
29,160,53,F,24,86,2,N,3,CS,3.43,STAT,C,3.71,8,2,0
30,180,65,M,24,92,2,Y,1,DS,3.2,MATH,985,3.2,0,1,0
31,181,75,M,24,99,2,Y,3,NO,3.9,STAT,985,4,0,2,2
32,158,53.5,F,23,105,2,Y,2,NO,3,MATH,,3.9,3,2,1
33,180,79,M,27,101,6,Y,1,NO,3,STAT,A,3.97,2,0,1
34,164,52,F,24,98,1.5,Y,3,MATH,3.5,INFORMATION AND COMPUTING SCIENCE,211,3.77,3,0,0
35,163,53,F,23,100,1.5,N,1,NO,3.57,ACTUR,211,3.83,0,0,0
36,155,45,F,25,101,2,Y,2,NO,3.6,ELECTRONIC ENGINEERING,211,4,0,4,2
37,162,50,F,24,98,2,Y,1,CS,3.7,STAT,211,3.7,12,4,2
38,153,46,F,24,83,2,Y,3,DS,3.5,PSYCHOLOGY,985,3.6,0,0,0
39,167,57,F,23,96,2,Y,2,NO,3.4,ECON,C,4,0,0,0
40,179,57,M,24,92,2,Y,4,CS,3.7,STAT,C,3.46,0,0,0
41,176,58,F,25,98,2,Y,2,EIGINEERING MANAGEMENT,3.53,FIN,C,3.62,6,4,0
42,170,65,F,24,105,2,N,2,CS,3.5,ACTUR,211,3.82,0,0,0
43,160,58,F,27,100,3,Y,2,CS,3.31,FIN,985,3.91,2,3,0
44,174,77,M,24,101,6,Y,6,NO,3.6,ECON,A,3.3,0,0,0
45,152,43,F,23,106,2,N,1,MATH,3.3,ECON,A,3.6,0,3,1
46,168,57,F,22,101,5,N,2,NO,3.3,BUSINESS MANAGEMENT AND MATHEMATICS,A,3.71,2,3,0
47,164,52,F,22,93,2.5,Y,3,NO,3,MATH,985,3.7,0,0,0
48,170,56,F,24,95,2,Y,2,PUBLIC HEALTH,3.5,MATH,,3.5,3,0,0
49,160,80,F,25,88,2,N,3,NO,2.89,MATH,C,3.2,0,0,0
50,185,76,M,23,95,2,Y,4,CS,3.24,MATH,985,3.7,15,4,3
51,165,50,F,23,99,2,Y,3,CS,4,FINANCE AND INVESTMENT,211,3.7,12,2,0
52,160,47,F,26,96,2,N,1,NO,3.3,STAT,985,3.8,3,1,1
53,163,60,F,36,101,15,Y,2,"CS,PUBH",3.7,BIO,985,3.8,15,0,0
